,term,coef,unstemmed
160,insipid,-10.996980624107916,insipid
327,unlisten,-10.443878728668144,unlistenable
35,bland,-9.786085901924908,bland
323,unfortun,-9.674447151629982,Unfortunately
347,wors,-9.534159486465333,worse
316,travistan,-8.122935861980109,Travistan
187,m2,-7.254521491326897,M2
72,decent,-6.930386663678735,decent
252,problem,-6.920166154200273,problem
86,dreck,-6.819589991940491,dreck
121,frat,-6.549006504978169,frat
319,turgid,-6.403540574987364,turgid
64,cosmo,-6.319101440250555,Cosmo
91,duritz,-6.187328045690376,Duritz
22,audioslav,-6.095916049144341,Audioslave
197,mediocr,-6.083906223524734,mediocre
126,generic,-6.07139441049642,generic
232,passabl,-5.718696691191136,passable
346,woodwat,-5.71630075094859,WoodWater
140,halfheart,-5.652782653793563,halfhearted
333,vapid,-5.540060463516925,vapid
246,pointless,-5.509251966010168,pointless
21,attempt,-5.177033860794138,attempt
236,perfunctori,-5.166336176646458,perfunctory
270,ripoff,-5.152800264717782,ripoff
63,cosloy,-5.140791032094637,Cosloy
324,uninspir,-5.038298776421312,uninspired
120,forgett,-5.012530454402893,forgettable
0,07,-4.9491869114442215,07
181,lifeless,-4.948613390576897,lifeless
182,limp,-4.818720914865292,limp
348,worst,-4.742109064376729,worst
195,mc5s,-4.598844930335123,MC5s
243,platitud,-4.498621858405371,platitudes
218,nickelback,-4.456352505311272,Nickelback
107,fail,-4.449571642307279,failed
313,thirdrat,-4.197197105003784,thirdrate
172,lack,-4.0906904465702105,lack
186,lulu,-3.992987127025083,Lulu
13,annoy,-3.911949318226063,annoying
262,reheat,-3.8705428881029276,reheated
166,irrit,-3.640231826333939,irritating
245,plod,-3.6259604835748953,plodding
101,erm,-3.587880262452196,erm
345,wolfi,-3.525360388865745,Wolfie
202,misguid,-3.5005885527998015,misguided
104,excruci,-3.4917577244625106,excruciating
89,dull,-3.4604153130705257,dull
190,markettest,-3.435669585736472,markettested
26,bad,-3.348878187474322,bad
332,valtýsdóttir,-3.3301275109871296,Valtýsdóttir
36,blatant,-3.315289291121271,blatant
309,tepid,-3.2842537214747787,tepid
225,observatori,-3.2785525885320297,Observatory
344,whatsoev,-3.2528872048849813,whatsoever
164,ironist,-3.081720669250122,ironist
338,warlock,-2.9991420856010316,Warlocks
165,irredeem,-2.9349077052533032,irredeemable
3,abysm,-2.877482700393476,abysmal
75,delous,-2.8649842064847926,DeLoused
307,tedious,-2.833989170468008,tedious
27,banal,-2.800828021655643,banal
53,clumsi,-2.72307513420893,clumsy
189,marilyn,-2.71823630653068,Marilyn
131,gradschool,-2.69629692828649,gradschool
222,oakenfold,-2.6868994702988247,Oakenfold
304,suppos,-2.6830977302544765,supposed
62,coor,-2.672901876954561,Coors
210,mumford,-2.6669619939755056,Mumford
69,cringeinduc,-2.656287711341698,cringeinducing
306,tasteless,-2.654025950859179,tasteless
130,grader,-2.6264283649690934,graders
231,overwrought,-2.6134076622405544,overwrought
226,odious,-2.553882813881968,odious
97,embarrass,-2.543045740336767,embarrassing
61,cookiecutt,-2.5050867755807342,cookiecutter
159,inoffens,-2.446543995324541,inoffensive
114,flaccid,-2.4253963994780907,flaccid
317,tri,-2.2666632474591855,trying
310,terribl,-2.2509291604435444,terrible
177,laughabl,-2.2193116852798904,laughable
281,selfsatisfact,-2.173618665470763,selfsatisfaction
214,nadir,-2.17299399704907,nadir
168,jett,-2.1428335109438787,Jett
40,bore,-2.068378970002006,boring
139,halfbak,-2.0475804356369633,halfbaked
269,rice,-2.0325514206953,Rice
223,obes,-2.0299083366752617,obese
253,protool,-2.0245165624275225,ProTools
24,aw,-2.0120204653467813,awful
199,mewl,-1.997956210590508,mewling
277,schlock,-1.980721103105658,schlock
331,vagu,-1.964707555496677,vaguely
254,psa,-1.960736055425936,PSA
201,mild,-1.9598984873804444,mildly
37,bloat,-1.9462571293756092,bloated
143,haughti,-1.9420824408809398,haughty
227,offens,-1.933824795495815,offensive
196,meaningless,-1.9123004120221794,meaningless
330,unremark,-1.9063942599513162,unremarkable
148,horribl,-1.900342740231201,horrible
77,denver,-1.8947638196152017,Denver
8,aimless,-1.8920712737757592,aimless
95,egregi,-1.8388675089266404,egregious
23,avril,-1.8229075393133227,Avril
325,unintent,-1.7944100542602137,unintentionally
275,save,-1.7857330013941597,save
287,shortlist,-1.7776457705176147,shortlist
68,credconsci,-1.76587337997812,credconscious
33,better,-1.7323881014650588,better
237,phair,-1.7270634114221723,Phair
162,intermin,-1.723409718624515,interminable
84,doesnt,-1.6885302352348692,doesnt
133,grate,-1.6505683831837497,grating
